# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    15    59     3     4     0     0   405    27     0     0   145     5     -     -     0     5     0
    0    14    59     0     4     0     0   405    26   100     0   145     5     -     -     0     0     0
    0    13    59     0     4     0     0   405    26   100     0   145     5     -     -     0     0     0
    0    14    59     0     4     0     0   405    27   100     0   145     5     -     -     0     0     0
    0    14    59     0     4     0     0   405    27   100     0   145     5     -     -     0     1     0
    0    14    58     2     4     0     0   405    26   100     0   145     5     -     -     0     0     1
    0    17    59     0     4     0     0   405    27   100     0   145     5     -     -     0     0     0
    0    14    59     1     4     0     0   405    26   100     0   145     5     -     -     0     0     0
    0    14    59     0     4     0     0   405    27   100     0   145     5     -     -     0     0     0
    0    14    59    10     4     0     0   405    24   100     0   145     5     -     -     0     0     0
