# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    14    55     2     4     0     0   405    26     0     0   155     5     -     -     0     7     0
    0    13    55     1     4     0     0   405    28   100     0   155     5     -     -     0     0     0
    0    13    55     2     4     0     0   405    27    88     0   155     5     -     -     0    32     0
    0    14    55    11     4     0     0   405    34   100     0   155     5     -     -     0     0     0
    0    14    55     0     4     0     0   405    31   100     0   155     5     -     -     0     0     0
    0    49    56    17     2     0     0  5005    81    82     0   159     5     -     -     0    66     0
    0    50    56     0     0     0     0  5005  1679     0     0   161     5     -     -     0     0     0
    0    48    56     0     0     0     0  4513  1678     0     0   445     5     -     -     0    15     5
    0    48    57     0     0     0     0  4513  1679     0     0   445     5     -     -     0    15     7
    0    48    57     0     0     0     0  4513  1679     0     0   445     5     -     -     0    15     5
    0    48    57     0     0     0     0  4513  1679     0     0   445     5     -     -     0    15     5
    0    48    57     0     0     0     0  4513  1675     0     0   445     5     -     -     0    15     5
    0    48    57     1     0     0     0  4513  1677     0     0   445     5     -     -     0    15     5
    0    48    57     1     0     0     0  4513  1676     0     0   445     5     -     -     0    15     5
    0    48    57     1     0     0     0  4513  1677     0     0   445     5     -     -     0    15     5
    0    48    57     1     0     0     0  4513  1677     0     0   445     5     -     -     0    15     5
    0    48    57     0     0     0     0  4513  1676     0     0   445     5     -     -     0    15     5
    0    48    57     0     0     0     0  4513  1675     0     0   445     5     -     -     0    15     5
    0    48    58     0     0     0     0  4513  1675     0     0   445     5     -     -     0    15     5
    0    48    58     0     0     0     0  4513  1675     0     0   445     5     -     -     0    15     5
    0    48    58     0     0     0     0  4513  1674     0     0   445     5     -     -     0    61     2
    0    48    58     2     0     0     0  4513  1675     0     0   445     5     -     -     0     1     0
    0    48    58     2     0     0     0  4513  1676     0     0   445     5     -     -     0     1     0
    0    48    58     2     0     0     0  4513  1676     0     0   445     5     -     -     0     1     0
    0    48    58     2     0     0     0  4513  1676     0     0   445     5     -     -     0     2     0
    0    48    58     1     0     0     0  4513  1677     0     0   445     5     -     -     0     1     0
    0    48    58     2     0     0     0  4513  1676     0     0   445     5     -     -     0     1     0
    0    48    58     2     0     0     0  4513  1675     0     0   445     5     -     -     0     2     0
    0    48    58     2     0     0     0  4513  1676     0     0   445     5     -     -     0     1     0
    0    48    58     2     0     0     0  4513  1674     0     0   445     5     -     -     0     1     0
    0    48    59     3     0     0     0  4513  1675     0     0   445     5     -     -     0     1     0
    0    48    59     3     0     0     0  4513  1678     0     0   445     5     -     -     0     1     0
    0    48    59     2     0     0     0  4513  1678     0     0   445     5     -     -     0     1     0
    0    48    59     2     0     0     0  4513  1677     0     0   445     5     -     -     0     1     0
    0    48    59     2     0     0     0  4513  1676     0     0   445     5     -     -     0     1     0
    0    48    59     2     0     0     0  4513  1675     0     0   445     5     -     -     0     1     0
    0    49    59     2     0     0     0  4513  1674     0     0   445     5     -     -     0     1     0
    0    49    59     2     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    48    60     2     0     0     0  4513  1677     0     0   445     5     -     -     0     2     0
    0    50    60    11     1     0     0  4513  1677     0     0   448     5     -     -     0   167    18
    0    49    60     2     1     0     0  4513  1677     0     0   457     5     -     -     0     2     0
    0    49    60     2     1     0     0  4513  1676     0     0   457     5     -     -     0     1     0
    0    49    60     2     1     0     0  4513  1675     0     0   457     5     -     -     0     6     1
    0    49    60     2     1     0     0  4513  1675     0     0   457     5     -     -     0     1     0
# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    49    60     2     1     0     0  4513  1674     0     0   457     5     -     -     0     1     1
    0    49    60     2     1     0     0  4513  1676     0     0   457     5     -     -     0     1     1
    0    49    60     3     1     0     0  4513  1677     0     0   457     5     -     -     0     1     1
    0    49    60     3     1     0     0  4513  1676     0     0   457     5     -     -     0     1     1
    0    49    61     2     1     0     0  4513  1675     0     0   457     5     -     -     0     1     1
    0    49    60     3     1     0     0  4513  1676     0     0   457     5     -     -     0     1     1
    0    49    61     2     1     0     0  4513  1677     0     0   457     5     -     -     0    32     6
    0    49    61     2     1     0     0  4513  1677     0     0   457     5     -     -     0     1     0
    0    49    61     2     1     0     0  4513  1676     0     0   457     5     -     -     0     1     1
    0    49    61     2     1     0     0  4513  1676     0     0   457     5     -     -     0     1     1
    0    49    61     2     1     0     0  4513  1677     0     0   457     5     -     -     0     6     0
    0    49    61     2     1     0     0  4513  1678     0     0   457     5     -     -     0     5     0
    0    49    61     2     1     0     0  4513  1676     0     0   457     5     -     -     0     6     0
    0    49    61     2     1     0     0  4513  1676     0     0   457     5     -     -     0     7     0
    0    49    61     2     1     0     0  4513  1677     0     0   457     5     -     -     0     0     1
