# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    14    57     8     4     0     0   405    35     0     0   155     5     -     -     0     3     1
    0    13    57     0     4     0     0   405    33   100     0   155     5     -     -     0     0     0
    0    14    57     0     4     0     0   405    31    68     0   155     5     -     -     0     0     0
    0    17    57     0     4     0     0   405    32    98     0   155     5     -     -     0     0     0
    0    14    57     6     5     0     0   405    31   100     0   155     5     -     -     0     0     0
    0    14    57    17     4     0     0   405    31   100     0   155     5     -     -     0     0     1
    0    50    57     0     0     0     0  5005   430     8     0   161     5     -     -     0     0     0
    0    48    58     4     0     0     0  4513  1678     0     0   445     5     -     -     0     0     0
    0    48    58     2     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    48    58     2     0     0     0  4513  1677     0     0   445     5     -     -     0     1     0
    0    48    58     2     0     0     0  4513  1678     0     0   445     5     -     -     0     0     0
    0    48    58     1     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
    0    48    58     2     0     0     0  4513  1679     0     0   445     5     -     -     0     1     0
    0    48    58     2     0     0     0  4513  1679     0     0   445     5     -     -     0     0     0
    0    48    58     2     0     0     0  4513  1678     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1677     0     0   445     5     -     -     0    19     0
    0    48    59     1     0     0     0  4513  1677     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1676     0     0   445     5     -     -     0     2     0
    0    48    59     2     0     0     0  4513  1674     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
    0    48    59     1     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    49    59     2     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1675     0     0   445     5     -     -     0     1     0
    0    49    60     2     0     0     0  4513  1675     0     0   445     5     -     -     0     1     0
    0    49    60     2     0     0     0  4513  1675     0     0   445     5     -     -     0     1     0
    0    49    60     2     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    49    60     2     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
    0    49    60     1     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    49    60     2     0     0     0  4513  1674     0     0   445     5     -     -     0     0     0
    0    49    60     2     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    49    60     2     0     0     0  4513  1675     0     0   445     5     -     -     0     1     0
    0    49    60     2     0     0     0  4513  1673     0     0   445     5     -     -     0    19     0
    0    49    61     2     0     0     0  4513  1675     0     0   445     5     -     -     0     1     0
    0    49    61     2     0     0     0  4513  1674     0     0   445     5     -     -     0     0     0
    0    49    61     3     0     0     0  4513  1675     0     0   445     5     -     -     0     1     0
    0    49    61     2     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    49    61     3     0     0     0  4513  1674     0     0   445     5     -     -     0     0     0
    0    49    61     2     0     0     0  4513  1676     0     0   445     5     -     -     0     1     0
    0    41    61     2     0     0     0  4513  1599     0     0   445     5     -     -     0     0     0
    0    41    61     2     0     0     0  4513  1202     0     0   445     5     -     -     0     0     0
    0    23    61     3     3     0     0   810  1202     0     0   445     5     -     -     0     0     0
    0    23    61     3     2     0     0   810  1196     0     0   445     5     -     -     0     0     0
# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    23    60     4     2     0     0   810  1194     0     0   445     5     -     -     0     0     0
    0    20    61     6     5     0     0   405  1195     0     0   445     5     -     -     0     0     0
    0    20    60     6     5     0     0   405   390     0     0   445     5     -     -     0     2     0
    0    20    60     7     5     0     0   405   207     0     0   445     5     -     -     0     1     0
    0    19    60    10     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    19    60     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    19    60    11     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60    11     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    19    60    18     6     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    19    60    19     6     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    19    60    19     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    19    60    10     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    19    60    10     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    19    60     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60    10     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60    16     5     0     0   405   103     0     0   445     5     -     -     0     2     0
    0    20    60    10     5     0     0   405   103     0     0   445     5     -     -     0     0     1
    0    20    60     9     5     0     0   405   103     0     0   445     5     -     -     0     1     1
    0    19    60     9     5     0     0   405   103     0     0   445     5     -     -     0     0     1
    0    20    60    10     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60     9     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    19    60    10     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60    10     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    19    60     9     5     0     0   405   103     0     0   445     5     -     -     0     1     1
    0    19    60     9     5     0     0   405   103     0     0   445     5     -     -     0    12     0
    0    19    60     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60    19     6     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60    19     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    19    60    18     6     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60    10     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    19    60     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    19    60     9     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60    10     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    19    60     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    19    60     9     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    19    61     9     5     0     0   405   103     0     0   445     5     -     -     0     0     1
    0    19    60     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    61     9     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60     9     5     0     0   405   103     0     0   445     5     -     -     0     0     1
    0    19    61     9     5     0     0   405   103     0     0   445     5     -     -     0     0     3
    0    20    60     9     5     0     0   405   103     0     0   445     5     -     -     0    27     0
    0    20    60    12     5     0     0   405   103     0     0   445     5     -     -     0     0     1
    0    20    60    14     5     0     0   405   103     0     0   445     5     -     -     0     0     0
# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    19    61    15     5     0     0   405   103     0     0   445     5     -     -     0     1     0
