# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    22    58     2     2     0     0   810   873     0     0   155     5     -     -     0    16     0
    0    20    58     0     4     0     0   405   667     0     0   155     5     -     -     0     0     0
    0    20    57     2     4     0     0   405   206     0     0   155     5     -     -     0     0     0
    0    20    57     2     4     0     0   405   206     0     0   155     5     -     -     0     0     0
    0    20    57     2     4     0     0   405   141     0     0   155     5     -     -     0     0     0
    0    19    57     2     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    19    57     3     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    19    57     2     4     0     0   405   103     0     0   155     5     -     -     0     0     1
    0    19    57     2     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    50    57     0     0     0     0  5005   108     0     0   161     5     -     -     0     0     0
    0    50    58     1     0     0     0  5005  1679     0     0   335     5     -     -     0  5467   547
    0    48    58     2     0     0     0  4513  1678     0     0   445     5     -     -     0     0     0
    0    48    58     2     0     0     0  4513  1677     0     0   445     5     -     -     0     0     0
    0    48    58     2     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
    0    48    58     2     0     0     0  4513  1676     0     0   445     5     -     -     0     1     3
    0    48    58     2     0     0     0  4513  1678     0     0   445     5     -     -     0     1     0
    0    48    58     2     0     0     0  4513  1675     0     0   445     5     -     -     0     2     0
    0    48    58     3     0     0     0  4513  1677     0     0   445     5     -     -     0     0     0
    0    48    58     3     0     0     0  4513  1677     0     0   445     5     -     -     0     0     0
    0    48    58     3     0     0     0  4513  1677     0     0   445     5     -     -     0     0     0
    0    48    58     2     0     0     0  4513  1678     0     0   445     5     -     -     0     0     0
    0    48    58     2     0     0     0  4513  1677     0     0   445     5     -     -     0     0     0
    0    48    58     2     0     0     0  4513  1678     0     0   445     5     -     -     0     0     0
    0    48    58     2     0     0     0  4513  1678     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1677     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1678     0     0   445     5     -     -     0     0     0
    0    49    59     2     0     0     0  4513  1678     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1677     0     0   445     5     -     -     0    19     0
    0    49    59     2     0     0     0  4513  1676     0     0   445     5     -     -     0     1     0
    0    49    60     2     0     0     0  4513  1677     0     0   445     5     -     -     0     0     0
    0    49    60     3     0     0     0  4513  1677     0     0   445     5     -     -     0     0     0
    0    49    60     3     0     0     0  4513  1677     0     0   445     5     -     -     0     0     0
    0    49    60     3     0     0     0  4513  1677     0     0   445     5     -     -     0     0     0
    0    48    60     3     0     0     0  4513  1678     0     0   445     5     -     -     0     0     0
    0    49    60     2     0     0     0  4513  1679     0     0   445     5     -     -     0     0     0
    0    49    60     2     0     0     0  4513  1677     0     0   445     5     -     -     0     0     0
    0    49    60     2     0     0     0  4513  1677     0     0   445     5     -     -     0     0     0
    0    49    60     2     0     0     0  4513  1678     0     0   445     5     -     -     0     0     0
    0    44    60     2     0     0     0  4513  1596     0     0   445     5     -     -     0     0     0
# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    44    60     2     0     0     0  4513  1468     0     0   445     5     -     -     0     0     0
    0    23    60     4     3     0     0   810  1467     0     0   445     5     -     -     0     0     0
    0    23    60     4     3     0     0   810  1045     0     0   445     5     -     -     0     1     0
    0    22    60     4     3     0     0   810   873     0     0   445     5     -     -     0     1     0
    0    20    60     8     6     0     0   405   845     0     0   445     5     -     -     0     0     0
    0    20    60     8     5     0     0   405   207     0     0   445     5     -     -     0     0     0
    0    20    60    12     6     0     0   405   207     0     0   445     5     -     -     0     0     3
    0    20    60    12     6     0     0   405   168     0     0   445     5     -     -     0    22     0
    0    20    61    21     6     0     0   405   103     0     0   445     5     -     -     0     0     1
    0    20    60    21     6     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60    21     6     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60    11     6     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60    12     6     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60    12     6     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60    11     6     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60    12     6     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60    11     6     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60    12     6     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60    13     6     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60    12     6     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60    11     6     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60    12     6     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60    12     6     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60    12     6     0     0   405   103     0     0   445     5     -     -     0    22     0
    0    20    60    13     6     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60    19     6     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60    20     6     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60    20     6     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60    12     6     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60    12     6     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60    12     6     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60    14     6     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60    19     6     0     0   405   103     0     0   155     5     -     -     0     0     3
    0    20    60     1     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    60     3     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    61     3     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    60     0     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    60     2     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    22    60     3     4     0     0   405   103     0     0   155     5     -     -     0     0     3
