# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    20    58     5     4     0     0   405   206     0     0   155     5     -     -     0    11     1
    0    20    58     4     4     0     0   405   206     0     0   163     5     -     -     0     0     0
    0    20    58     5     4     0     0   405   206     0     0   155     5     -     -     0     0     0
    0    20    58     6     4     0     0   405   206     0     0   155     5     -     -     0     0     0
    0    20    58     0     4     0     0   405   206     0     0   155     5     -     -     0     0     0
    0    20    58     0     4     0     0   405   206     0     0   155     5     -     -     0     0     0
    0    20    57     1     4     0     0   405   206     0     0   155     5     -     -     0     0     0
    0    20    57     0     4     0     0   405   206     0     0   155     5     -     -     0     0     2
    0    20    57    13     5     0     0   405   206     0     0   155     5     -     -     0     0     0
    0    19    57     2     4     0     0   405   206     0     0   155     5     -     -     0    17     0
    0    50    58     0     0     0     0  5005  1381     0     0   161     5     -     -     0     0     0
    0    50    56    24     1     0     0  5005  1677     0     0   446     5     -     -     0   422    42
    0    48    58     2     0     0     0  4513  1679     0     0   445     5     -     -     0   222    40
    0    48    58     2     0     0     0  4513  1678     0     0   445     5     -     -     0   222    31
    0    49    58     2     0     0     0  4513  1678     0     0   445     5     -     -     0   218    31
    0    48    58     2     0     0     0  4513  1677     0     0   445     5     -     -     0   221    31
    0    49    58     2     0     0     0  4513  1674     0     0   445     5     -     -     0   227    31
    0    49    58     2     0     0     0  4513  1673     0     0   445     5     -     -     0   262    38
    0    48    58     2     0     0     0  4513  1675     0     0   445     5     -     -     0   221    31
    0    48    58     3     0     0     0  4513  1672     0     0   445     5     -     -     0   224    32
    0    48    58     3     0     0     0  4513  1673     0     0   445     5     -     -     0   218    31
    0    48    58     3     0     0     0  4513  1672     0     0   445     5     -     -     0   258    31
    0    48    58     2     0     0     0  4513  1674     0     0   445     5     -     -     0   256    32
    0    48    58     2     0     0     0  4513  1675     0     0   445     5     -     -     0   225    31
    0    48    58     2     0     0     0  4513  1675     0     0   445     5     -     -     0   284    31
    0    48    58     2     0     0     0  4513  1675     0     0   445     5     -     -     0   214    30
    0    48    58     2     0     0     0  4513  1674     0     0   445     5     -     -     0   219    29
    0    48    58     2     0     0     0  4513  1675     0     0   445     5     -     -     0   224    29
    0    48    58     2     0     0     0  4513  1674     0     0   445     5     -     -     0   223    29
    0    48    58     2     0     0     0  4513  1675     0     0   445     5     -     -     0   220    30
    0    48    58     3     0     0     0  4513  1676     0     0   445     5     -     -     0   257    35
    0    48    58     2     0     0     0  4513  1673     0     0   445     5     -     -     0   223    30
    0    48    58     2     0     0     0  4513  1675     0     0   445     5     -     -     0   280    35
    0    48    58     2     0     0     0  4513  1676     0     0   445     5     -     -     0   278    31
    0    48    58     2     0     0     0  4513  1675     0     0   445     5     -     -     0   215    31
    0    48    58     2     0     0     0  4513  1677     0     0   445     5     -     -     0   279    31
    0    48    58     3     0     0     0  4513  1678     0     0   445     5     -     -     0   222    31
    0    48    58     2     0     0     0  4513  1677     0     0   445     5     -     -     0   219    39
    0    48    58     3     0     0     0  4513  1678     0     0   445     5     -     -     0   221    40
    0    48    58     3     0     0     0  4513  1677     0     0   445     5     -     -     0   217    39
    0    48    58     2     0     0     0  4513  1677     0     0   445     5     -     -     0   222    40
    0    48    58     2     0     0     0  4513  1678     0     0   445     5     -     -     0   226    39
    0    48    58     2     0     0     0  4513  1677     0     0   445     5     -     -     0   220    39
    0    48    57     2     0     0     0  4513  1677     0     0   445     5     -     -     0   272    38
# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    48    58     2     0     0     0  4513  1677     0     0   445     5     -     -     0   218    38
    0    48    58     2     0     0     0  4513  1677     0     0   445     5     -     -     0   290    37
    0    48    58     3     0     0     0  4513  1677     0     0   445     5     -     -     0   220    37
    0    48    58     2     0     0     0  4513  1678     0     0   445     5     -     -     0   217    36
    0    48    58     2     0     0     0  4513  1678     0     0   445     5     -     -     0   217    38
    0    48    58     2     0     0     0  4513  1677     0     0   445     5     -     -     0   222    36
    0    48    58     2     0     0     0  4513  1677     0     0   445     5     -     -     0   224    36
    0    48    58     3     0     0     0  4513  1677     0     0   445     5     -     -     0   224    38
    0    48    58     3     1     0     0  4513  1676     0     0   445     5     -     -     0   329   106
    0    48    58     2     0     0     0  4513  1676     0     0   445     5     -     -     0   278    39
    0    48    58     3     0     0     0  4513  1676     0     0   445     5     -     -     0   224    39
    0    48    58     3     0     0     0  4513  1677     0     0   445     5     -     -     0   221    40
    0    48    59     3     0     0     0  4513  1678     0     0   445     5     -     -     0   221    38
    0    48    59     3     0     0     0  4513  1677     0     0   445     5     -     -     0   224    38
    0    48    59     2     0     0     0  4513  1677     0     0   445     5     -     -     0   224    41
    0    48    59     2     0     0     0  4513  1677     0     0   445     5     -     -     0   247    39
    0    49    59     2     0     0     0  4513  1677     0     0   445     5     -     -     0   222    38
    0    49    59     2     0     0     0  4513  1677     0     0   445     5     -     -     0   222    38
    0    49    59     2     0     0     0  4513  1677     0     0   445     5     -     -     0   263    41
    0    49    59     3     0     0     0  4513  1677     0     0   445     5     -     -     0   222    38
    0    49    60     2     0     0     0  4513  1676     0     0   445     5     -     -     0   221    36
    0    49    60     2     0     0     0  4513  1676     0     0   445     5     -     -     0   224    36
    0    49    60     2     0     0     0  4513  1677     0     0   445     5     -     -     0   266    30
    0    49    60     2     0     0     0  4513  1676     0     0   445     5     -     -     0   224    31
    0    49    60     2     0     0     0  4513  1676     0     0   445     5     -     -     0   222    32
    0    48    60     2     0     0     0  4513  1677     0     0   445     5     -     -     0   221    32
    0    49    60     2     0     0     0  4513  1675     0     0   445     5     -     -     0   221    31
    0    49    60     2     0     0     0  4513  1676     0     0   445     5     -     -     0   256    32
    0    49    60     2     0     0     0  4513  1676     0     0   445     5     -     -     0   268    32
    0    49    60     3     0     0     0  4513  1676     0     0   445     5     -     -     0   259    31
    0    49    61     3     0     0     0  4513  1676     0     0   445     5     -     -     0   272    31
    0    49    61     3     0     0     0  4513  1677     0     0   445     5     -     -     0   224    31
    0    49    61     2     0     0     0  4513  1678     0     0   445     5     -     -     0   225    31
    0    49    61     2     0     0     0  4513  1678     0     0   445     5     -     -     0   226    32
    0    49    61     2     0     0     0  4513  1678     0     0   445     5     -     -     0   217    31
    0    49    61     3     0     0     0  4513  1679     0     0   445     5     -     -     0   221    40
    0    49    61     2     0     0     0  4513  1678     0     0   445     5     -     -     0   217    29
    0    49    61     2     0     0     0  4513  1678     0     0   445     5     -     -     0   222    29
    0    49    61     3     0     0     0  4513  1679     0     0   445     5     -     -     0   219    29
    0    49    61     2     0     0     0  4513  1678     0     0   445     5     -     -     0   220    29
    0    49    61     2     0     0     0  4513  1677     0     0   445     5     -     -     0   256    33
    0    49    62     3     1     0     0  4513  1678     0     0   445     5     -     -     0   267    29
    0    51    62     2     0     0     0  4513  1679     0     0   445     5     -     -     0   259    30
    0    49    62     2     0     0     0  4513  1679     0     0   445     5     -     -     0   282    32
# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    49    62     3     0     0     0  4513  1678     0     0   445     5     -     -     0   215    31
    0    51    62     0     0     0     0  5005  1679     0     0   155     5     -     -     0    18     0
    0    43    61     1     0     0     0  5005  1676     0     0   155     5     -     -     0     0     0
    0    43    61     0     0     0     0  5005  1300     0     0   155     5     -     -     0     0     4
    0    43    62     0     0     0     0  5005  1202     0     0   155     5     -     -     0     0     0
    0    41    61     1     0     0     0  4513  1202     0     0   155     5     -     -     0     0     0
    0    41    61     1     0     0     0  4513  1202     0     0   155     5     -     -     0     0     0
