# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    19    58     8     4     0     0   405   103     0     0   155     5     -     -     0    11     0
    0    20    59     8     4     0     0   405   103     0     0   163     5     -     -     0     0     0
    0    20    59     0     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    59     0     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    59     0     4     0     0   405   103     0     0   155     5     -     -     0     0     2
    0    20    59     0     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    59     1     4     0     0   405   103     0     0   155     5     -     -     0     1     0
    0    20    59     0     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    59     1     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    50    60     0     0     0     0  5005  1094     0     0   161     5     -     -     0     0     0
    0    53    60     0     0     0     0  5005  1678     0     0   335     5     -     -     0   837     1
    0    49    60     0     0     0     0  4513  1678     0     0   445     5     -     -     0    15     5
    0    49    60     0     0     0     0  4513  1679     0     0   445     5     -     -     0    15     5
    0    48    60     0     0     0     0  4513  1679     0     0   445     5     -     -     0    32     5
    0    48    60     0     0     0     0  4513  1678     0     0   445     5     -     -     0    15     5
    0    49    60     0     0     0     0  4513  1679     0     0   445     5     -     -     0    15     5
    0    49    60     0     0     0     0  4513  1677     0     0   445     5     -     -     0    15     5
    0    49    60     1     0     0     0  4513  1674     0     0   445     5     -     -     0    15     5
    0    49    61     1     0     0     0  4513  1675     0     0   445     5     -     -     0    15    10
    0    49    61     2     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    49    61     2     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    49    61     2     0     0     0  4513  1671     0     0   445     5     -     -     0     0     0
    0    49    61     5     1     0     0  4513  1673     0     0   445     5     -     -     0    61     0
    0    49    62     2     0     0     0  4513  1672     0     0   445     5     -     -     0     0     0
    0    49    62     2     0     0     0  4513  1674     0     0   445     5     -     -     0     0     0
    0    49    62     2     0     0     0  4513  1675     0     0   445     5     -     -     0     1     0
    0    49    62     2     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    49    62     2     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
    0    50    62     2     0     0     0  4513  1677     0     0   445     5     -     -     0     0     0
    0    49    62     2     0     0     0  4513  1676     0     0   445     5     -     -     0     0    68
    0    49    62     2     0     0     0  4513  1677     0     0   445     5     -     -     0     1     0
    0    49    62     2     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
