# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    19    55     1     4     0     0   405   103     0     0   155     5     -     -     0    12     0
    0    19    55     0     4     0     0   405   103     0     0   163     5     -     -     0   200     1
    0    19    55     0     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    19    55     9     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    19    55     9     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    19    55     9     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    19    55     1     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    19    55     0     4     0     0   405   103     0     0   155     5     -     -     0     0     1
    0    19    55     1     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    19    55     1     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    19    52    23     5     0     0   405   103     0     0   155     5     -     -     0     8     4
    0    50    56     0     0     0     0  5005   476     0     0   161     5     -     -     0     0     0
    0    48    57     4     0     0     0  4513  1678     0     0   445     5     -     -     0     0     0
    0    48    57     2     0     0     0  4513  1678     0     0   445     5     -     -     0     0     0
    0    48    57     2     0     0     0  4513  1679     0     0   445     5     -     -     0     0     0
    0    48    57     2     0     0     0  4513  1678     0     0   445     5     -     -     0     0     0
    0    48    57     2     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
    0    48    57     2     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
    0    48    57     2     0     0     0  4513  1676     0     0   445     5     -     -     0     1     0
    0    48    57     2     0     0     0  4513  1676     0     0   445     5     -     -     0    21     0
    0    48    58     1     0     0     0  4513  1677     0     0   445     5     -     -     0     0     0
    0    48    58     2     0     0     0  4513  1677     0     0   445     5     -     -     0     0     0
    0    48    58     3     0     0     0  4513  1678     0     0   445     5     -     -     0     0     0
    0    48    58     5     1     0     0  4513  1678     0     0   445     5     -     -     0     0     0
    0    48    58     2     0     0     0  4513  1678     0     0   445     5     -     -     0     0     0
    0    48    58     2     0     0     0  4513  1678     0     0   445     5     -     -     0     1     0
    0    48    58     2     0     0     0  4513  1677     0     0   445     5     -     -     0     0     0
    0    48    58     2     0     0     0  4513  1676     0     0   445     5     -     -     0     1     0
    0    48    58     2     0     0     0  4513  1677     0     0   445     5     -     -     0     0     0
    0    48    58     2     0     0     0  4513  1678     0     0   445     5     -     -     0     0     0
    0    48    58     2     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    49    59     2     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1674     0     0   445     5     -     -     0     0     3
    0    49    59     2     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1674     0     0   445     5     -     -     0     1     0
    0    49    59     2     0     0     0  4513  1675     0     0   445     5     -     -     0     1     0
    0    48    60     3     0     0     0  4513  1675     0     0   445     5     -     -     0     1     0
    0    49    60     2     0     0     0  4513  1676     0     0   445     5     -     -     0     1     0
    0    49    60     3     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
    0    49    60     1     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    49    60     2     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
    0    41    60     2     0     0     0  4513  1677     0     0   445     5     -     -     0     0     0
    0    41    60     2     0     0     0  4513  1259     0     0   445     5     -     -     0     0     0
    0    23    60     2     2     0     0   810  1252     0     0   445     5     -     -     0     0     0
    0    22    60     4     2     0     0   810  1135     0     0   445     5     -     -     0     0     0
    0    23    60     4     3     0     0   810   873     0     0   445     5     -     -     0     0     0
    0    20    59     6     5     0     0   405   873     0     0   445     5     -     -     0     0     0
    0    20    60     6     5     0     0   405   447     0     0   445     5     -     -     0     0     0
    0    20    59     7     5     0     0   405   207     0     0   445     5     -     -     0     3     0
    0    20    59     9     5     0     0   405   107     0     0   445     5     -     -     0     0     0
    0    20    60     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60     9     5     0     0   405   103     0     0   445     5     -     -     0     1     1
    0    20    60    19     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60    20     6     0     0   405   103     0     0   445     5     -     -     0     0     1
    0    20    60    20     6     0     0   405   103     0     0   445     5     -     -     0     0     1
    0    20    60     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60     9     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60     9     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60     9     5     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60     9     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60    14     6     0     0   405   103     0     0   445     5     -     -     0     0     0
    0    20    60    11     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60     9     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60     9     5     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60    10     6     0     0   405   103     0     0   445     5     -     -     0     1     0
    0    20    60     8     5     0     0   405   103     0     0   159     5     -     -     0     0     0
    0    20    60     0     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    60     0     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    60     0     4     0     0   405   103     0     0   155     5     -     -     0    10     0
    0    20    58     0     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    60     9     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    60     9     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    60     9     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    60     0     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    60     0     4     0     0   405   103     0     0   155     5     -     -     0     1     0
    0    20    60     1     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    60     0     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    60     1     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    60     0     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    60     0     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    60     1     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    60     2     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    60     0     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    60     2     4     0     0   405   103     0     0   155     5     -     -     0     0     0
# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    20    60     1     4     0     0   405   103     0     0   155     5     -     -     0     4     0
    0    20    60     2     4     0     0   405   103     0     0   155     5     -     -     0    11     0
    0    20    60     2     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    60     1     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    60     0     4     0     0   405   103     0     0   155     5     -     -     0     3     0
    0    20    60     8     4     0     0   405   103     0     0   155     5     -     -     0     0     0
