# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    19    58     0     4     0     0   405   103     0     0   155     5     -     -     0    10     3
    0    20    58     1     4     0     0   405   103     0     0   167     5     -     -     0   346     0
    0    20    58     0     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    19    58     0     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    19    58     9     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    19    58     9     4     0     0   405   103     0     0   155     5     -     -     0     0     0
    0    20    58     5     4     0     0   405   119     0     0   155     5     -     -     0     0     0
    0    19    58     1     4     0     0   405   206     0     0   155     5     -     -     0     0     0
    0    19    58     1     4     0     0   405   206     0     0   155     5     -     -     0     0     0
    0    50    58     0     0     0     0  5005   401     0     0   161     5     -     -     0     0     0
    0    50    59     0     0     0     0  5005  1677     0     0   333     5     -     -     0   626   541
    0    48    59     2     0     0     0  4513  1678     0     0   445     5     -     -     0     1     0
    0    48    59     2     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1675     0     0   445     5     -     -     0     1     0
    0    48    59     2     0     0     0  4513  1674     0     0   445     5     -     -     0     0     0
    0    49    59     2     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    48    59     2     0     0     0  4513  1674     0     0   445     5     -     -     0     0     0
    0    49    59     2     0     0     0  4513  1673     0     0   445     5     -     -     0     0     0
    0    49    60     2     0     0     0  4513  1673     0     0   445     5     -     -     0    19     0
    0    49    60     2     0     0     0  4513  1671     0     0   445     5     -     -     0     1     0
    0    49    60     3     0     0     0  4513  1672     0     0   445     5     -     -     0     0     0
    0    48    60     3     0     0     0  4513  1672     0     0   445     5     -     -     0     0     0
    0    49    60     3     0     0     0  4513  1674     0     0   445     5     -     -     0     0     0
    0    49    60     2     0     0     0  4513  1674     0     0   445     5     -     -     0     0     0
    0    49    60     2     0     0     0  4513  1673     0     0   445     5     -     -     0     0     0
    0    49    60     2     0     0     0  4513  1671     0     0   445     5     -     -     0     0     0
    0    49    60     2     0     0     0  4513  1673     0     0   445     5     -     -     0     0     0
    0    49    60     2     0     0     0  4513  1674     0     0   445     5     -     -     0     0     0
    0    49    61     2     0     0     0  4513  1672     0     0   445     5     -     -     0     0     0
    0    49    61     2     0     0     0  4513  1673     0     0   445     5     -     -     0     0     0
    0    49    61     2     0     0     0  4513  1672     0     0   445     5     -     -     0     0     0
    0    49    61     2     0     0     0  4513  1673     0     0   445     5     -     -     0     3     0
    0    49    61     2     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    49    61     2     0     0     0  4513  1675     0     0   445     5     -     -     0     1     0
    0    49    61     2     0     0     0  4513  1675     0     0   445     5     -     -     0     1     0
    0    49    61     2     0     0     0  4513  1674     0     0   445     5     -     -     0     0     0
    0    50    61     2     0     0     0  4513  1674     0     0   445     5     -     -     0     0     3
    0    49    61     2     0     0     0  4513  1677     0     0   445     5     -     -     0     0     0
    0    49    61     2     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
    0    49    61     3     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    49    61     3     0     0     0  4513  1674     0     0   445     5     -     -     0     0     0
    0    49    61     3     0     0     0  4513  1675     0     0   445     5     -     -     0     1     0
    0    49    61     2     0     0     0  4513  1676     0     0   445     5     -     -     0     0     0
    0    49    61     2     0     0     0  4513  1677     0     0   445     5     -     -     0     1     0
# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    49    61     2     0     0     0  4513  1676     0     0   445     5     -     -     0     1     0
    0    49    61     2     0     0     0  4513  1676     0     0   445     5     -     -     0     1     0
    0    49    61     2     0     0     0  4513  1675     0     0   445     5     -     -     0     1     0
    0    49    61     2     0     0     0  4513  1674     0     0   445     5     -     -     0     0     0
    0    49    61     2     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
    0    49    61     2     0     0     0  4513  1674     0     0   445     5     -     -     0     0     0
    0    49    61     2     0     0     0  4513  1674     0     0   445     5     -     -     0     0     0
    0    49    61     2     0     0     0  4513  1674     0     0   445     5     -     -     0     0     0
    0    49    61     2     0     0     0  4513  1675     0     0   445     5     -     -     0     0     0
