# gpu   pwr  temp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    51    61     0     0     0     0  5005  1669     0     0   155     5     -     -     0    16     0
    0    52    61     0     0     0     0  5005  1671     0     0   155     5     -     -     0     0     0
    0    51    61     0     0     0     0  5005  1672     0     0   155     5     -     -     0     0     0
    0    51    61     0     0     0     0  5005  1672     0     0   155     5     -     -     0     0     0
    0    51    62     0     0     0     0  5005  1673     0     0   155     5     -     -     0     0     3
    0    51    62     1     0     0     0  5005  1672     0     0   155     5     -     -     0     0     0
    0    41    61     1     0     0     0  4513  1672     0     0   155     5     -     -     0     0     0
    0    41    61     1     0     0     0  4513  1245     0     0   155     5     -     -     0     0     0
    0    41    61     1     0     0     0  4513  1202     0     0   155     5     -     -     0     0     0
    0    22    61     0     2     0     0   810  1124     0     0   155     5     -     -     0     3     0
    0    22    62     0     2     0     0   810   873     0     0   155     5     -     -     0     0     0
    0    53    62     0     0     0     0  5005   873     0     0   161     5     -     -     0     0     0
    0    51    62     0     0     0     0  5005  1360     0     0   161     5     -     -     0     0     0
    0    49    62     2     0     0     0  4513  1674     0     0   445     5     -     -     0   220    29
    0    49    62     2     0     0     0  4513  1675     0     0   445     5     -     -     0   220    29
    0    49    62     2     0     0     0  4513  1674     0     0   445     5     -     -     0   221    29
    0    49    62     2     0     0     0  4513  1673     0     0   445     5     -     -     0   260    29
    0    49    62     2     0     0     0  4513  1673     0     0   445     5     -     -     0   236    37
    0    49    62     2     0     0     0  4513  1673     0     0   445     5     -     -     0   226    30
    0    49    62     2     0     0     0  4513  1673     0     0   445     5     -     -     0   224    32
    0    49    62     2     0     0     0  4513  1673     0     0   445     5     -     -     0   243    32
    0    49    62     2     0     0     0  4513  1673     0     0   445     5     -     -     0   218    31
    0    49    62     2     0     0     0  4513  1673     0     0   445     5     -     -     0   220    32
    0    49    62     2     0     0     0  4513  1673     0     0   445     5     -     -     0   238    32
    0    49    62     3     0     0     0  4513  1675     0     0   445     5     -     -     0   256    32
    0    49    62     3     0     0     0  4513  1674     0     0   445     5     -     -     0   231    31
    0    49    62     3     0     0     0  4513  1675     0     0   445     5     -     -     0   220    31
    0    49    61     2     0     0     0  4513  1674     0     0   445     5     -     -     0   219    31
    0    49    61     2     0     0     0  4513  1673     0     0   445     5     -     -     0   242    30
    0    49    61     2     0     0     0  4513  1672     0     0   445     5     -     -     0   220    31
    0    49    61     2     0     0     0  4513  1675     0     0   445     5     -     -     0   253    31
    0    49    61     2     0     0     0  4513  1675     0     0   445     5     -     -     0   245    31
    0    49    61     2     0     0     0  4513  1675     0     0   445     5     -     -     0   254    39
    0    49    61     2     0     0     0  4513  1675     0     0   445     5     -     -     0   258    40
    0    49    61     2     0     0     0  4513  1674     0     0   445     5     -     -     0   254    39
    0    49    61     2     0     0     0  4513  1675     0     0   445     5     -     -     0   223    40
    0    49    61     3     0     0     0  4513  1675     0     0   445     5     -     -     0   272    40
    0    49    61     2     0     0     0  4513  1677     0     0   445     5     -     -     0   224    40
    0    49    61     2     0     0     0  4513  1676     0     0   445     5     -     -     0   223    39
    0    49    61     2     0     0     0  4513  1674     0     0   445     5     -     -     0   288    38
    0    49    61     2     0     0     0  4513  1673     0     0   445     5     -     -     0   219    39
    0    49    61     3     0     0     0  4513  1675     0     0   445     5     -     -     0   218    38
    0    49    61     3     0     0     0  4513  1674     0     0   445     5     -     -     0   222    39
    0    49    61     2     0     0     0  4513  1673     0     0   445     5     -     -     0   217    38
